event_type,attendance,location_type,weather_factor,density_veh_per_km,queue_length_veh,label
Accident,576,Urban,160.1579,33.86,8.95,Moderate
Accident,67,Urban,23.6206,88.17,55.24,Gridlock
Accident,939,Highway,157.497,27.5,11.38,Moderate
Accident,918,Highway,297.9694,8.82,1.25,Free-flow
Accident,949,Highway,294.4766,9.97,0.55,Free-flow
Sporting Event,55203,Highway,87.2073,60.07,25.85,Heavy
Sporting Event,88885,Rural,145.1041,25.13,8.1,Moderate
Construction,676,Urban,270.8516,7.82,1.49,Moderate
Parade,25151,Rural,292.8629,10.21,2.36,Free-flow
Construction,206,Highway,300.0303,12.0,1.32,Free-flow
Accident,949,Suburban,298.8026,10.92,2.64,Free-flow
Accident,888,Urban,83.4497,64.13,25.45,Heavy
Construction,75,Urban,76.5769,62.28,24.67,Heavy
Concert,97915,Highway,166.7121,29.09,11.51,Moderate
Accident,423,Highway,154.656,24.87,10.15,Moderate
Accident,50,Highway,304.2038,10.03,2.97,Free-flow
Sporting Event,56848,Highway,306.7849,10.77,2.21,Free-flow
Accident,899,Highway,71.7059,58.79,23.94,Heavy
Accident,630,Urban,161.6742,32.65,9.06,Moderate
Other,96,Urban,81.4996,60.24,21.72,Heavy
Sporting Event,63231,Urban,292.4414,8.22,2.58,Free-flow
Sporting Event,45456,Highway,169.4361,29.93,10.92,Moderate
Construction,829,Urban,171.4617,33.11,10.88,Moderate
Parade,73313,Suburban,274.8271,14.18,3.0,Free-flow
Accident,454,Urban,288.4431,12.7,2.76,Free-flow
Parade,28390,Urban,156.1359,26.6,11.23,Moderate
Parade,49021,Suburban,91.6697,60.2,23.4,Heavy
Accident,729,Highway,148.2347,35.96,8.41,Moderate
Sporting Event,26010,Rural,82.3795,59.75,25.47,Heavy
Construction,547,Rural,273.7867,8.4,1.5,Free-flow
Accident,452,Suburban,162.7003,28.62,12.57,Moderate
Accident,212,Urban,23.6929,90.92,60.6,Gridlock
Sporting Event,7059,Urban,150.4562,32.3,9.76,Moderate
Sporting Event,81918,Suburban,60.1702,59.92,26.8,Heavy
Parade,42722,Suburban,282.5496,11.04,1.56,Free-flow
Accident,460,Urban,75.6381,55.79,22.34,Heavy
Concert,10201,Suburban,289.3736,13.91,2.58,Free-flow
Sporting Event,56033,Rural,268.4139,13.79,0.91,Free-flow
Sporting Event,37664,Suburban,85.4924,56.2,23.29,Heavy
Other,225,Suburban,98.6129,59.65,22.32,Heavy
Other,18,Suburban,171.6618,33.97,11.67,Moderate
Concert,62289,Urban,173.5776,28.22,11.49,Moderate
Accident,483,Suburban,285.427,10.16,0.73,Free-flow
Sporting Event,10494,Suburban,83.9773,56.81,20.25,Heavy
Construction,885,Urban,291.8086,10.16,2.84,Free-flow
Sporting Event,30549,Urban,154.8595,27.9,9.4,Moderate
Parade,82317,Highway,82.7752,58.64,23.84,Heavy
Construction,221,Urban,29.7638,92.87,64.33,Gridlock
Parade,80170,Suburban,289.0361,13.48,2.5,Free-flow
Accident,767,Urban,26.9908,96.57,64.73,Gridlock
Sporting Event,17992,Urban,157.1334,32.47,8.69,Moderate
Other,342,Urban,303.1444,10.69,2.51,Free-flow
Construction,963,Highway,267.9471,10.02,1.03,Free-flow
Accident,189,Urban,21.8136,93.83,56.34,Gridlock
Construction,799,Suburban,78.177,60.81,26.25,Heavy
Construction,382,Highway,172.9352,26.57,12.43,Moderate
Parade,10670,Suburban,282.2136,13.09,0.71,Free-flow
Construction,65,Urban,150.7091,28.99,9.44,Moderate
Accident,650,Urban,161.1204,30.25,9.76,Moderate
Accident,951,Urban,267.7989,13.17,2.13,Free-flow
Concert,96668,Suburban,78.4771,58.22,20.5,Heavy
Construction,798,Suburban,81.9469,60.76,23.12,Heavy
Accident,247,Suburban,287.1084,6.91,1.91,Free-flow
Other,547,Urban,142.8192,30.63,10.28,Moderate
Sporting Event,70864,Urban,276.5432,10.74,1.79,Free-flow
Sporting Event,6460,Suburban,63.6011,59.22,21.51,Heavy
Construction,78,Suburban,164.4183,27.81,10.2,Moderate
Parade,68812,Urban,31.687,90.13,54.35,Gridlock
Accident,475,Rural,24.8462,90.33,61.82,Gridlock
Other,604,Urban,18.9156,93.45,59.63,Gridlock
Concert,50928,Urban,279.4871,9.84,0.99,Free-flow
Accident,338,Suburban,170.4945,32.6,6.48,Moderate
Construction,789,Urban,72.3539,59.41,25.07,Heavy
Accident,567,Urban,31.0301,86.97,62.47,Gridlock
Concert,55218,Urban,163.883,27.8,13.67,Moderate
Accident,699,Urban,28.0693,93.16,62.94,Gridlock
Concert,53581,Urban,28.8565,94.94,60.44,Gridlock
Sporting Event,86424,Rural,76.0569,62.05,25.96,Heavy
Parade,79496,Suburban,155.1469,29.25,12.56,Moderate
Accident,4,Highway,95.0952,61.78,23.37,Heavy
Construction,81,Suburban,72.6596,63.66,20.08,Heavy
Sporting Event,40803,Suburban,26.693,90.87,59.03,Gridlock
Accident,271,Highway,267.7221,11.17,3.17,Free-flow
Construction,177,Suburban,80.5502,53.54,25.84,Heavy
Sporting Event,7677,Rural,145.839,27.36,11.11,Moderate
Accident,494,Suburban,25.9925,91.6,56.03,Gridlock
Sporting Event,89019,Suburban,79.9196,60.04,25.47,Heavy
Accident,220,Suburban,147.0952,25.64,6.07,Moderate
Accident,582,Highway,167.7683,34.19,9.67,Moderate
Construction,447,Urban,167.0381,28.84,10.84,Moderate
Construction,814,Highway,24.3674,89.27,67.33,Gridlock
Accident,103,Highway,177.5033,32.1,10.72,Moderate
Parade,44394,Urban,18.9403,84.16,57.65,Gridlock
Sporting Event,52728,Highway,147.3118,29.82,7.34,Moderate
Accident,306,Highway,87.4914,56.57,25.16,Heavy
Accident,210,Highway,284.6132,11.66,0.78,Free-flow
Sporting Event,16175,Urban,166.282,29.83,8.2,Moderate
Parade,58148,Urban,281.0535,9.15,2.23,Free-flow
Parade,47160,Urban,76.6695,59.15,28.54,Heavy
Sporting Event,78393,Suburban,269.9601,9.84,2.52,Free-flow
Construction,894,Urban,22.0527,85.35,58.91,Gridlock
Sporting Event,35072,Urban,78.37,54.13,24.22,Heavy
Accident,196,Suburban,75.7105,60.48,26.85,Heavy
Construction,439,Suburban,27.9479,90.68,58.97,Gridlock
Construction,159,Suburban,170.6981,31.18,9.48,Moderate
Sporting Event,65036,Urban,76.9379,60.05,24.9,Heavy
Accident,547,Urban,275.0018,7.86,2.2,Free-flow
Other,652,Urban,285.8831,13.32,2.33,Free-flow
Parade,82127,Urban,96.8229,62.71,25.61,Heavy
Accident,230,Urban,179.7694,34.64,8.84,Moderate
Concert,48560,Urban,75.3121,59.42,23.05,Heavy
Construction,328,Urban,272.64,9.36,0.81,Free-flow
Construction,279,Highway,172.5358,32.5,12.24,Moderate
Accident,799,Urban,81.2442,65.38,25.98,Heavy
Concert,84418,Urban,283.5243,10.3,2.82,Free-flow
Concert,92017,Highway,88.0127,59.68,26.12,Heavy
Accident,412,Urban,280.0741,12.59,1.13,Free-flow
Other,191,Urban,27.3437,90.41,60.42,Gridlock
Sporting Event,67771,Urban,268.8012,8.68,2.2,Free-flow
Accident,302,Urban,286.1525,9.05,2.65,Free-flow
Accident,882,Highway,285.8849,9.84,2.59,Free-flow
Accident,132,Suburban,24.956,89.17,63.63,Gridlock
Accident,512,Suburban,24.6652,86.59,63.8,Gridlock
Accident,47,Rural,150.5522,38.99,12.03,Moderate
Accident,717,Suburban,268.5625,9.45,0.57,Free-flow
Accident,420,Highway,272.9309,7.82,2.63,Free-flow
Construction,119,Urban,95.3185,64.91,25.18,Heavy
Accident,571,Rural,22.1855,88.2,59.37,Gridlock
Accident,571,Urban,67.2122,57.8,25.04,Heavy
Construction,529,Urban,166.7034,28.79,9.9,Moderate
Parade,38197,Rural,19.0394,90.04,63.2,Gridlock
Construction,119,Urban,64.4243,58.53,24.4,Heavy
Parade,10968,Highway,167.7285,30.43,11.74,Moderate
Sporting Event,39988,Urban,173.5577,26.21,10.87,Moderate
Concert,38202,Urban,160.7872,31.78,11.02,Moderate
Accident,35,Suburban,21.6784,87.44,66.82,Gridlock
Parade,73535,Suburban,174.3476,28.64,13.71,Moderate
Construction,856,Urban,86.7657,56.43,26.47,Heavy
Construction,768,Urban,165.8985,29.87,11.57,Moderate
Accident,212,Urban,27.482,85.81,63.47,Gridlock
Construction,530,Urban,23.6403,94.18,50.4,Gridlock
Parade,79788,Suburban,304.7267,12.43,0.76,Free-flow
Construction,831,Urban,79.213,57.44,24.88,Heavy
Other,920,Urban,26.9106,86.38,59.7,Gridlock
Parade,49808,Suburban,300.0521,10.25,2.16,Free-flow
Accident,86,Urban,264.7445,10.18,0.83,Free-flow
Parade,70758,Highway,148.8,29.08,10.4,Moderate
Sporting Event,65798,Urban,293.7798,9.47,2.05,Free-flow
Construction,440,Suburban,79.2442,55.2,24.03,Heavy
Accident,437,Highway,161.4784,29.08,7.5,Moderate
Sporting Event,73187,Urban,291.6308,7.52,2.02,Free-flow
Accident,665,Suburban,274.9007,13.8,0.56,Free-flow
Construction,555,Rural,260.7273,6.57,1.61,Free-flow
Accident,147,Urban,70.3082,58.86,25.19,Heavy
Construction,137,Urban,282.1819,11.16,2.35,Moderate
Parade,63984,Suburban,275.9545,8.57,0.42,Free-flow
Concert,6296,Rural,156.4111,30.16,9.04,Moderate
Accident,890,Rural,26.7678,95.42,64.97,Gridlock
Accident,74,Rural,288.6857,7.73,0.77,Free-flow
Accident,495,Suburban,167.1324,27.38,8.14,Moderate
Sporting Event,33076,Urban,74.6363,65.36,22.52,Heavy
Sporting Event,64678,Suburban,283.872,11.24,2.25,Free-flow
Construction,481,Suburban,166.47,31.64,10.67,Moderate
Concert,66034,Urban,32.0818,88.15,61.09,Gridlock
Concert,9174,Rural,280.2368,10.0,2.17,Free-flow
Accident,266,Urban,290.8636,8.83,1.61,Free-flow
Construction,877,Rural,67.1424,59.83,24.11,Heavy
Construction,457,Highway,27.6609,91.18,55.6,Gridlock
Concert,47317,Urban,21.9178,87.58,61.98,Gridlock
Concert,24895,Urban,27.1806,92.84,58.9,Gridlock
Construction,421,Highway,316.901,10.26,2.65,Free-flow
Construction,540,Suburban,86.6177,64.82,25.04,Heavy
Concert,71561,Highway,27.5586,93.78,62.24,Gridlock
Accident,610,Highway,69.8871,58.29,23.54,Heavy
Other,375,Suburban,151.1248,31.86,7.77,Moderate
Construction,351,Highway,70.8918,59.97,22.45,Heavy
Sporting Event,64821,Urban,61.3921,56.79,25.1,Heavy
Concert,58249,Urban,84.6237,59.4,20.39,Heavy
Construction,701,Suburban,173.4506,29.74,9.79,Moderate
Accident,164,Urban,157.4401,28.64,11.12,Moderate
Construction,985,Suburban,182.0763,30.01,7.15,Moderate
Concert,83891,Urban,63.1453,55.73,26.3,Heavy
Other,498,Suburban,165.7978,27.09,10.26,Moderate
Other,841,Highway,279.9864,5.32,1.78,Free-flow
Concert,75020,Urban,24.665,92.08,62.0,Gridlock
Accident,783,Urban,99.7597,59.35,26.22,Heavy
Construction,385,Urban,280.007,10.26,2.88,Free-flow
Accident,785,Suburban,280.8318,15.0,1.18,Free-flow
Concert,88645,Suburban,85.9533,56.72,21.09,Heavy
Other,801,Suburban,24.1763,90.06,58.39,Gridlock
Accident,667,Suburban,79.2724,62.64,25.78,Heavy
Parade,69928,Rural,77.7972,58.96,24.44,Heavy
Accident,989,Suburban,29.3756,88.73,55.09,Gridlock
Accident,664,Urban,169.9172,30.05,10.26,Moderate
Sporting Event,66243,Urban,298.8215,9.35,2.68,Free-flow
Concert,11308,Urban,281.9236,13.31,1.25,Free-flow
Concert,72120,Suburban,86.3705,63.4,24.35,Heavy
Concert,45898,Urban,151.5564,30.57,12.37,Moderate
Accident,97,Highway,151.7179,30.3,9.7,Moderate
Concert,6011,Urban,279.8323,10.31,1.9,Free-flow
Concert,71327,Urban,173.0109,31.24,13.33,Moderate
Accident,458,Urban,162.2865,26.28,8.27,Moderate
Accident,109,Suburban,75.9151,64.1,25.28,Heavy
Concert,54734,Urban,181.6249,33.11,8.56,Moderate
Sporting Event,16125,Highway,28.4522,92.63,51.73,Gridlock
Accident,535,Suburban,67.5904,63.85,24.76,Heavy
Construction,800,Suburban,92.3843,56.95,26.78,Heavy
Parade,19129,Suburban,272.1695,10.12,3.21,Free-flow
Accident,435,Urban,73.1314,57.23,26.09,Heavy
Construction,559,Highway,60.7581,55.26,26.18,Heavy
Sporting Event,85431,Rural,80.6444,60.3,23.78,Heavy
Construction,763,Urban,24.4478,92.25,57.55,Heavy
Concert,88224,Urban,279.803,10.39,1.35,Free-flow
Accident,26,Suburban,280.7158,8.6,1.38,Free-flow
Sporting Event,56457,Suburban,177.8098,28.33,8.15,Moderate
Accident,258,Highway,167.5749,28.64,9.84,Moderate
Construction,681,Highway,25.8926,89.12,63.74,Gridlock
Construction,8,Urban,61.2345,59.03,25.73,Heavy
Construction,501,Urban,137.9312,30.16,12.41,Moderate
Accident,56,Highway,288.1121,9.7,2.76,Free-flow
Parade,52558,Suburban,25.2096,91.49,56.12,Gridlock
Construction,875,Urban,297.8006,7.97,0.98,Free-flow
Other,639,Rural,63.5923,61.03,26.56,Heavy
Concert,91471,Highway,270.4445,10.06,1.06,Free-flow
Concert,68992,Suburban,29.7747,88.41,54.8,Gridlock
Accident,452,Highway,286.6307,9.66,1.78,Free-flow
Other,854,Highway,161.1125,32.14,10.28,Moderate
Sporting Event,29836,Rural,275.4248,10.18,1.98,Free-flow
Accident,905,Urban,154.6025,29.31,8.91,Moderate
Parade,79338,Suburban,152.1437,31.76,12.01,Moderate
Sporting Event,23938,Highway,274.2554,11.2,1.75,Free-flow
Accident,2,Highway,19.7706,91.99,60.76,Gridlock
Accident,432,Urban,70.6122,60.03,24.03,Heavy
Accident,739,Highway,162.2571,31.76,11.14,Moderate
Construction,464,Urban,251.852,6.09,2.23,Free-flow
Accident,640,Suburban,153.6387,32.73,11.15,Moderate
Sporting Event,56077,Suburban,143.9808,32.18,11.45,Moderate
Accident,134,Urban,258.1855,12.29,2.62,Free-flow
Sporting Event,43208,Urban,268.1646,10.14,2.36,Free-flow
Construction,524,Urban,74.9847,63.54,25.14,Heavy
Construction,251,Urban,56.6375,58.28,25.63,Heavy
Accident,416,Urban,80.1131,57.28,22.2,Heavy
Accident,828,Urban,31.9456,92.68,63.13,Gridlock
Concert,46591,Urban,260.1131,11.15,1.52,Free-flow
Accident,594,Urban,266.7373,9.24,2.18,Free-flow
Parade,63402,Urban,28.1369,89.07,61.02,Gridlock
Construction,791,Urban,23.6299,90.14,62.43,Gridlock
Sporting Event,10709,Urban,75.8686,65.21,21.87,Heavy
Accident,519,Highway,283.242,11.09,1.04,Free-flow
Parade,81106,Rural,281.5371,6.99,1.42,Free-flow
Concert,37637,Highway,277.3622,13.15,2.13,Free-flow
Accident,734,Suburban,174.5584,30.95,9.71,Moderate
Accident,936,Highway,27.6856,86.08,63.61,Gridlock
Accident,620,Suburban,64.7558,60.6,27.64,Heavy
Accident,719,Urban,165.6866,29.88,11.24,Moderate
Other,926,Urban,296.5975,10.21,2.65,Free-flow
Accident,886,Highway,292.5679,7.75,2.38,Free-flow
Accident,392,Rural,27.787,89.91,66.05,Gridlock
Concert,78709,Urban,261.8887,7.45,1.29,Free-flow
Sporting Event,6130,Urban,274.7396,5.88,2.11,Free-flow
Accident,570,Urban,286.014,11.58,0.88,Free-flow
Accident,638,Urban,95.079,57.66,23.29,Heavy
Sporting Event,52364,Rural,26.5611,87.47,61.65,Gridlock
Construction,706,Urban,172.9755,30.51,8.21,Moderate
Concert,22080,Highway,67.1744,56.26,27.3,Heavy
Sporting Event,47256,Urban,258.251,8.26,0.07,Free-flow
Accident,426,Urban,288.4746,14.13,2.35,Free-flow
Accident,595,Highway,307.4443,9.05,2.28,Free-flow
Construction,127,Suburban,85.2353,59.38,30.74,Heavy
Sporting Event,23571,Highway,25.4197,84.07,59.69,Gridlock
Accident,394,Urban,80.0674,55.96,25.21,Heavy
Accident,707,Urban,69.7169,61.6,27.64,Heavy
Construction,779,Urban,166.5019,30.5,11.56,Moderate
Construction,601,Urban,269.8892,9.03,2.37,Free-flow
Accident,575,Suburban,71.793,58.43,21.85,Moderate
Accident,158,Urban,77.7052,60.76,23.86,Heavy
Other,544,Urban,287.0845,9.69,2.01,Moderate
Other,560,Suburban,87.8116,59.75,27.13,Heavy
Concert,24974,Highway,25.3006,88.58,61.16,Gridlock
Construction,301,Suburban,21.3616,89.04,59.76,Gridlock
Concert,64791,Highway,167.3951,30.08,6.05,Moderate
Concert,20110,Suburban,300.5332,8.39,2.64,Free-flow
Accident,120,Highway,147.0265,38.05,8.59,Moderate
Construction,449,Urban,84.5802,57.17,23.44,Heavy
Other,672,Urban,23.3755,89.51,60.65,Gridlock
Sporting Event,1195,Rural,159.0606,34.6,6.72,Moderate
Accident,81,Rural,19.2672,92.04,57.53,Gridlock
Other,62,Urban,151.6854,32.16,7.09,Moderate
Concert,35148,Suburban,271.1616,13.89,1.83,Free-flow
Construction,720,Rural,300.5028,9.06,1.6,Free-flow
Parade,34502,Urban,106.124,56.78,28.24,Heavy
Sporting Event,17970,Urban,295.7753,10.65,2.0,Free-flow
Concert,7482,Suburban,85.658,56.15,25.63,Heavy
Parade,9863,Suburban,26.3448,90.2,65.56,Gridlock
Other,793,Rural,25.6281,87.6,56.65,Gridlock
Accident,908,Highway,167.3006,28.78,12.8,Moderate
Other,814,Highway,265.5755,8.14,1.93,Free-flow
Concert,5257,Urban,71.0464,57.33,22.33,Heavy
Concert,44644,Rural,81.322,58.52,21.87,Heavy
Sporting Event,82594,Suburban,282.1509,10.48,2.84,Free-flow
Other,304,Highway,89.9275,60.82,19.91,Heavy
Concert,98250,Urban,25.7086,94.15,56.81,Gridlock
Construction,88,Highway,159.0742,25.38,9.15,Moderate
Construction,311,Suburban,69.4329,55.15,23.13,Heavy
Sporting Event,47027,Suburban,284.3446,5.46,0.93,Free-flow
Concert,42659,Suburban,288.9621,11.24,2.19,Free-flow
Concert,80299,Urban,165.2846,31.45,9.0,Moderate
Accident,996,Urban,64.2313,58.73,21.28,Heavy
Construction,947,Highway,26.2656,98.26,61.07,Gridlock
Construction,360,Suburban,71.5436,57.86,23.78,Heavy
Other,992,Highway,73.8221,58.13,21.44,Heavy
Sporting Event,36964,Rural,27.4217,87.53,61.05,Gridlock
Accident,405,Highway,300.6212,11.8,2.93,Free-flow
Other,369,Highway,165.0375,29.01,8.46,Moderate
Construction,209,Highway,21.0204,95.13,65.0,Gridlock
Sporting Event,51419,Suburban,26.6116,90.14,63.58,Gridlock
Sporting Event,96908,Suburban,67.9895,60.83,20.26,Heavy
Parade,66423,Urban,271.318,7.78,1.61,Free-flow
Concert,23183,Urban,179.2608,33.0,9.56,Moderate
Other,580,Suburban,287.7588,9.85,1.42,Free-flow
Construction,902,Rural,151.4003,27.44,9.02,Moderate
Construction,590,Highway,76.4575,64.91,23.54,Heavy
Accident,566,Rural,85.3599,56.82,23.75,Heavy
Accident,327,Suburban,290.6745,7.9,1.49,Free-flow
Sporting Event,31334,Rural,150.9416,27.78,10.86,Moderate
Construction,265,Urban,168.2133,35.3,10.01,Moderate
Parade,96044,Suburban,91.1715,61.17,26.45,Heavy
Sporting Event,33934,Urban,298.6229,12.97,2.61,Free-flow
Parade,15551,Highway,28.9659,89.9,54.77,Gridlock
Construction,296,Suburban,292.64,6.96,1.51,Free-flow
Sporting Event,43640,Highway,143.9925,31.45,11.26,Moderate
Accident,406,Highway,151.5527,28.24,9.81,Moderate
Accident,10,Urban,291.1906,10.98,2.12,Free-flow
Sporting Event,6746,Rural,278.174,11.29,0.28,Free-flow
Accident,453,Suburban,269.4274,7.64,3.37,Free-flow
Construction,129,Urban,74.4613,53.88,22.25,Heavy
Accident,788,Urban,82.7452,55.75,22.64,Heavy
Construction,12,Highway,265.7862,7.45,1.7,Free-flow
Construction,359,Suburban,155.8061,30.1,11.75,Moderate
Accident,382,Highway,161.488,29.7,8.62,Moderate
Concert,38871,Suburban,78.934,56.45,28.02,Heavy
Accident,855,Suburban,31.5141,97.26,60.16,Gridlock
Accident,76,Urban,275.4687,6.77,1.9,Free-flow
Construction,45,Suburban,139.0549,34.89,11.24,Moderate
Concert,48574,Rural,154.112,34.03,9.91,Moderate
Construction,738,Highway,24.6265,92.61,53.43,Gridlock
Parade,91140,Urban,257.1449,10.33,2.2,Free-flow
Other,916,Rural,278.0961,7.93,2.59,Free-flow
Construction,805,Urban,22.8501,90.39,61.45,Gridlock
Construction,518,Urban,22.074,89.57,61.77,Gridlock
Construction,580,Highway,68.4997,59.38,25.83,Heavy
Construction,947,Urban,172.0659,22.05,10.51,Moderate
Concert,49392,Suburban,81.8729,62.84,23.46,Heavy
Other,980,Urban,70.5581,62.76,25.84,Heavy
Sporting Event,90369,Urban,25.4938,93.21,59.86,Gridlock
Sporting Event,80043,Suburban,90.9421,63.94,24.22,Heavy
Construction,719,Rural,155.9972,40.34,6.69,Moderate
Accident,795,Suburban,276.2872,7.23,2.13,Free-flow
Construction,500,Urban,21.9462,87.86,59.93,Gridlock
Concert,79432,Urban,25.6803,96.55,56.88,Gridlock
Sporting Event,55644,Urban,167.3321,36.14,9.34,Moderate
Concert,3043,Urban,281.1279,11.73,2.18,Free-flow
Accident,476,Highway,296.3202,8.72,3.05,Free-flow
Construction,244,Urban,256.5536,10.02,0.69,Free-flow
Accident,469,Suburban,164.4043,26.53,10.57,Moderate
Accident,817,Rural,25.562,88.0,65.86,Gridlock
Accident,700,Urban,255.8702,11.97,2.72,Free-flow
Other,367,Suburban,85.4588,59.59,23.89,Heavy
Concert,69962,Urban,278.1408,8.31,1.26,Free-flow
Accident,807,Highway,28.5283,91.45,60.89,Gridlock
Concert,43305,Suburban,80.9198,59.46,24.28,Heavy
Other,389,Suburban,296.9071,10.96,3.17,Free-flow
Parade,81701,Suburban,93.6475,59.61,26.24,Heavy
Sporting Event,24744,Urban,79.0756,64.69,24.16,Heavy
Accident,454,Highway,152.9919,31.87,8.13,Moderate
Accident,530,Urban,72.9121,59.25,27.62,Heavy
Sporting Event,47088,Suburban,80.7936,57.94,25.31,Heavy
Construction,751,Rural,278.0344,10.08,2.35,Free-flow
Concert,32744,Urban,280.6548,12.69,0.37,Free-flow
Concert,32744,Urban,162.0835,30.09,8.41,Moderate
Sporting Event,56047,Highway,82.0403,63.18,22.24,Heavy
Concert,1755,Highway,292.4115,10.27,2.83,Free-flow
Other,942,Highway,270.8769,7.57,2.79,Free-flow
Concert,12820,Urban,166.5759,29.93,9.31,Moderate
Concert,4075,Rural,169.8624,27.09,11.42,Moderate
Sporting Event,96443,Suburban,147.5465,22.95,8.86,Moderate
Sporting Event,83936,Rural,276.6092,13.11,0.61,Free-flow
Sporting Event,53890,Highway,262.2077,12.86,2.32,Free-flow
Concert,59527,Suburban,65.2368,58.96,27.52,Heavy
Construction,480,Highway,279.3575,11.27,1.04,Free-flow
Other,446,Suburban,272.5793,11.63,1.92,Free-flow
Construction,645,Urban,169.5819,33.12,9.0,Moderate
Parade,11413,Urban,96.2475,60.25,26.09,Heavy
Sporting Event,86846,Urban,284.2904,8.91,2.15,Free-flow
Accident,70,Highway,57.0956,59.07,25.9,Heavy
Accident,165,Urban,178.1829,32.75,11.6,Moderate
Parade,45386,Suburban,25.7559,94.53,62.91,Gridlock
Accident,7,Suburban,155.8661,28.61,6.18,Moderate
Concert,46558,Urban,23.9323,86.34,61.88,Gridlock
Parade,54731,Suburban,24.8165,91.87,54.37,Gridlock
Accident,412,Suburban,89.2975,61.14,26.47,Heavy
Accident,636,Urban,70.3391,60.28,24.74,Heavy
Accident,97,Suburban,163.1891,25.49,10.5,Moderate
Sporting Event,40669,Highway,22.6328,87.44,59.86,Gridlock
Accident,951,Highway,288.3803,9.51,1.57,Free-flow
Construction,39,Rural,165.0728,27.35,9.38,Moderate
Accident,448,Rural,272.6274,7.09,1.96,Free-flow
Parade,66127,Rural,83.3023,57.5,25.36,Heavy
Sporting Event,83128,Urban,273.4067,10.62,1.22,Free-flow
Sporting Event,54678,Highway,149.9921,29.54,8.43,Heavy
Concert,13258,Urban,183.139,33.38,11.05,Moderate
Sporting Event,24975,Urban,158.5206,34.17,10.5,Moderate
Construction,889,Rural,106.3648,56.82,24.13,Heavy
Accident,293,Urban,268.2767,10.73,1.45,Free-flow
Construction,769,Urban,28.1091,95.08,61.41,Gridlock
Concert,33383,Suburban,186.0325,27.03,11.14,Moderate
Accident,784,Urban,72.2813,59.85,26.38,Heavy
Accident,933,Suburban,132.734,27.86,11.27,Moderate
Parade,11337,Urban,26.2499,88.13,62.51,Gridlock
Concert,74208,Highway,267.9768,7.51,2.6,Free-flow
Construction,104,Urban,271.456,7.06,1.48,Free-flow
Parade,2609,Urban,288.5667,12.48,1.79,Free-flow
Parade,48475,Urban,283.6943,14.23,0.74,Free-flow
Parade,82927,Urban,81.3057,59.45,21.26,Heavy
Other,77,Urban,26.3445,90.6,55.51,Gridlock
Parade,67712,Urban,160.5751,25.79,10.48,Moderate
Construction,762,Suburban,78.5897,60.64,26.05,Heavy
Accident,300,Urban,294.5892,10.91,1.39,Free-flow
Accident,778,Rural,79.9179,64.2,23.83,Heavy
Concert,24701,Rural,297.9386,10.26,2.6,Free-flow
Other,732,Urban,186.1632,23.71,9.68,Moderate
Concert,2204,Urban,173.8132,26.28,9.88,Moderate
Accident,155,Highway,294.7088,12.17,2.08,Free-flow
Sporting Event,75696,Suburban,262.1197,10.97,2.25,Free-flow
Accident,181,Urban,292.9076,8.82,2.42,Free-flow
Parade,88870,Urban,274.1396,9.37,1.73,Free-flow
Sporting Event,84735,Urban,275.8603,9.46,3.07,Free-flow
Concert,35200,Suburban,24.2695,88.38,58.29,Gridlock
Other,980,Highway,23.5197,87.06,57.02,Gridlock
Parade,47801,Urban,265.7771,8.36,1.18,Free-flow
Concert,70790,Highway,20.9879,87.84,65.76,Gridlock
Other,163,Suburban,31.2622,91.88,58.12,Gridlock
Construction,553,Highway,291.6651,9.79,1.36,Free-flow
Concert,27369,Urban,83.0459,57.54,26.72,Heavy
Concert,92866,Urban,282.6725,7.93,2.5,Free-flow
Construction,419,Suburban,154.3679,28.8,9.91,Moderate
Construction,209,Rural,168.8578,29.0,10.83,Moderate
Other,926,Suburban,24.9089,92.96,62.49,Gridlock
Sporting Event,71419,Urban,32.8111,89.56,57.99,Gridlock
Construction,877,Rural,176.9536,30.13,10.66,Moderate
Sporting Event,1845,Urban,88.362,60.33,23.58,Heavy
Construction,699,Highway,280.4117,7.41,2.25,Free-flow
Concert,67747,Urban,250.5723,12.53,2.55,Free-flow
Other,531,Suburban,278.4494,10.25,1.88,Free-flow
Accident,441,Urban,159.3429,30.24,10.39,Moderate
Accident,3,Urban,166.5959,26.95,11.13,Moderate
Construction,579,Highway,287.4798,6.32,1.98,Free-flow
Accident,927,Urban,269.2152,12.61,0.52,Free-flow
Parade,23423,Urban,278.3506,9.86,2.22,Free-flow
Parade,61182,Urban,70.9171,61.91,24.56,Heavy
Construction,973,Urban,280.9832,10.53,2.23,Free-flow
Accident,75,Highway,78.1973,57.89,24.42,Heavy
Accident,705,Urban,161.4531,23.97,13.52,Moderate
Accident,534,Urban,271.9736,10.06,1.65,Free-flow
Sporting Event,40447,Urban,75.5477,60.52,23.55,Heavy
Accident,424,Highway,25.7068,90.18,60.85,Gridlock
Construction,896,Suburban,316.9422,10.15,0.85,Free-flow
Concert,34100,Urban,142.8294,30.3,11.2,Moderate
Accident,221,Urban,74.2109,63.46,22.71,Heavy
Parade,6439,Suburban,28.6328,92.14,59.03,Gridlock
Sporting Event,8026,Rural,23.9903,84.5,61.26,Gridlock
Accident,374,Urban,294.3295,13.81,1.96,Free-flow
Construction,61,Suburban,157.8984,32.22,10.72,Moderate
Construction,285,Rural,156.4336,28.83,9.01,Moderate
